Username,Message,Character Count,Retweet Count,Like Count,Total Actions,Type
CompanyJ_154,Dominating the first week of 2019 like Via nbagleague ,54,224,1452,1676,video
CompanyJ_155,LAVINE FROM DEEP TO FORCE OT ,29,671,3842,4513,video
CompanyJ_156,Everyone at TD Garden wanted Dirk to hit a 3 but he fell just short ,68,2711,17680,20391,video
CompanyJ_157,Kris Dunn on a big man Wow ,27,489,2519,3008,video
CompanyJ_158,DIPO CALLED GAME ,17,1774,7677,9451,video
CompanyJ_159,If only this LaVine shot counted ,33,1027,6042,7069,video
CompanyJ_160,The Bulls Pacers ending was WILD ,33,764,3700,4464,video
CompanyJ_161,Collison bringing the flop back in 2019 ,40,383,2587,2970,video
CompanyJ_162,Luka signed a pair of shoes and gave them away to a young fan brkicks via jack_shuster IG ,90,697,9152,9849,video
CompanyJ_163,KCP nearly jumps into Lakers owner Jeanie Buss while chasing after ball ,72,155,1722,1877,video
CompanyJ_164,Lakers fall to 1 4 without The King ,36,1736,9282,11018,photo
CompanyJ_165,Steelers to consider trades for Antonio Brown before start of free agency will ask for a lot per RapSheet ,106,1503,8136,9639,photo
CompanyJ_166,Triple Double for Kyle Anderson 17 assists for Kris Dunn Don t ,63,432,3574,4006,photo
CompanyJ_167,The journey to Atlanta starts today NFLPlayoffs TurboTax ,57,94,593,687,video
CompanyJ_168,Oblak was not having it from AntoGriezmann via Atleti ,54,277,2433,2710,video
CompanyJ_169,He went behind the back in a high school game via wdbj7 IG ,59,5200,26484,31684,video
CompanyJ_170,LaMelo and SPIRE brought the show to Kentucky last night ,57,981,5964,6945,video
CompanyJ_171,With two games slated for Wildcard Saturday AdamLefkoe has the offense deciding these matchups ,95,40,303,343,video
CompanyJ_172, FAKE FIELD GOAL TD via NCAA_FCS ,33,310,2210,2520,video
CompanyJ_173,Lavar warming up to play MJ ,28,10405,48253,58658,video
CompanyJ_174,He really kicked it for a strike via gavin wilsonn Instagram ,61,1032,7822,8854,video
CompanyJ_175,Andrew Luck and JJ Watt missed the entirety of the 2017 season Their returns helped lead the Colts and Texans to the Wildcard Both comebacks historic but now only one of them can move on ,187,527,4219,4746,photo
CompanyJ_176,Kira Lewis is too young to be this kinda problem ,49,499,2719,3218,video
CompanyJ_177,Uber driver was talking smack about the Chargers to their RB Melvin Gordon Via Chargers ,88,17380,69203,86583,video
CompanyJ_178,Jake is a high school wrestler with a physical disability This week a senior wrestler volunteered to a match with him and the result is incredible via brookemcgriff16 dillon_keane ,180,1943,9680,11623,video
CompanyJ_179,Houston s No 1 hypeman via thecheckdown ,40,732,3681,4413,link
CompanyJ_180,3 defenders No problem for TYHilton13 via NFL ,46,435,2727,3162,photo
CompanyJ_181,OBJ catching passes from a new QB ,34,2866,18409,21275,video
CompanyJ_182,JJ SWATT sighting via NFL ,26,192,1761,1953,photo
CompanyJ_183,Marvin Williams on the breakaway and Shaqtin ,45,407,2736,3143,video
CompanyJ_184,ALL INDY Luck 2 TDs and the Colts jump to 21 0 halftime lead vs Texans ,71,380,2454,2834,photo
CompanyJ_185,Miles Bridges Windmill ,23,654,4245,4899,video
CompanyJ_186,Odell s calling his shot ,25,1330,10360,11690,photo
CompanyJ_187,Down go the Jayhawks Iowa State takes down No 5 Kansas 77 60 ,61,828,4597,5425,photo
CompanyJ_188,One year ago today Melo gave us one of the greatest interviews ever NSFW ,73,10962,44472,55434,video
CompanyJ_189,Kemba finishing package ,24,399,2498,2897,video
CompanyJ_190,Luck and the Colts punch the Texans out of the playoffs ,56,2335,7947,10282,video
CompanyJ_191, BEAT THE TRAFFIC This Colts fan in Houston was letting everyone have it via DEExGUILL ,87,3893,13982,17875,video
CompanyJ_192, ,1,919,5558,6477,photo
CompanyJ_193,Luka checked in with a cameraman after bad collision ,53,1864,17607,19471,video
CompanyJ_194,There s a pigeon flying around during the Spurs game Somebody call Manu ,72,565,3842,4407,video
CompanyJ_195,The Bucks arena played Kawhi s laugh after Raptors turnover ,60,13949,53487,67436,video
CompanyJ_196,Zion went 360 via CBSSports ,28,9641,33971,43612,video
CompanyJ_197,Zion s 360 dunk had Cameron Indoor Stadium LIVE via alee923 IG ,63,8892,38033,46925,video
CompanyJ_198,Spida iced the game then appeared to tell Andre Drummond You did this This is your fault Cold blooded h t VinceGoodwill ,120,2071,10966,13037,video
CompanyJ_199,Russ to Doug on 4th down CLUTCH via NFL ,40,789,4333,5122,photo
CompanyJ_200,Someone get Joel a straw for his apple juice via NBCSPhilly ,60,417,3526,3943,video
CompanyJ_201,Dak PICKED in the end zone K J Wright via NFL ,46,365,2736,3101,photo
CompanyJ_202,KD s face when the announcer said infectious disease They played Bleeding Love too ,83,2329,13123,15452,video
CompanyJ_203,Dak rushes for the 1st down BIG TIME via NFL ,45,1552,5375,6927,photo
CompanyJ_204,Dak powers the Cowboys to a win over the Seahawks ,50,2044,5765,7809,video
CompanyJ_205,JaMychal Green yells Man I hate this dude after getting called for a foul on LaMarcus Aldridge ,95,1200,8291,9491,video
CompanyJ_206,Dak 226 yards 2 TD Zeke 169 yards TD Coop 7 catches 106 yards The young stars showed up in their first playoff win ,115,3075,10724,13799,photo
CompanyJ_207,Embiid wants Simmons to shoot ,30,468,3894,4362,photo
CompanyJ_208,Playoff Dak in full effect ,27,1185,4697,5882,photo
CompanyJ_209,Steph tried Harden s step back and got called for a travel ,59,7919,36536,44455,video
CompanyJ_210,Stephen Curry has passed Kyle Korver for the fourth most threes in NBA history ,79,1737,11071,12808,photo
CompanyJ_211,Steph splashed 10 triples as the Warriors and Kings set the all time record for threes in a game 41 ,100,1200,6635,7835,video
CompanyJ_212,Bears have been dominant but AdamLefkoe got Playoff Nick Foles making magic happen to end Wild Card Weekend ,108,44,298,342,video
CompanyJ_213,Steph thinks he might ve gotten away with the double step back if he was somebody different via anthonyVslater ,111,2452,14844,17296,video
CompanyJ_214,Young Flash Zaire Wade s game is too smooth ,44,1827,9313,11140,video
CompanyJ_215,This young fan wrote Cowboys WR Allen Hurns a letter after his devastating injury vs Seattle via SlaterNFL mcswainkl ,117,1097,6988,8085,photo
CompanyJ_216,Lamar Jackson becomes the youngest QB ever to start a playoff game while this could be Philip Rivers last chance at a Super Bowl run Who you got the rookie or the vet ,167,444,4208,4652,photo
CompanyJ_217,LaMelo and SPIRE are must see entertainment ,44,1223,6772,7995,video
CompanyJ_218,Curry thought he could get away with it ,40,2225,9818,12043,video
CompanyJ_219,That uncle who s been talking about the Cowboys championship run since 96 via cynthiaokk ,89,8426,29266,37692,video
CompanyJ_220,The Ravens are losing by the biggest deficit 12 0 since Lamar took over as QB Jackson 2 8 17 yards INT ,103,265,1733,1998,photo
CompanyJ_221, I m here when you need me ,27,1236,7559,8795,photo
CompanyJ_222,Waiting to get called in like ,30,599,3402,4001,photo
CompanyJ_223,100 years from now Rivers and Gates will still be making plays Unreal connection via Chargers ,94,452,3445,3897,photo
CompanyJ_224,From fumble to Ravens touchdown to Chargers touchdown ,54,279,1783,2062,photo
CompanyJ_225,Not even the Ravens coaches are catching today via thecheckdown ,64,762,4617,5379,photo
CompanyJ_226, When you go through life everything s not gonna be perfect D Rose speaks to a young fan with Leukemia pregame via Timberwolves ,128,12903,50109,63012,video
CompanyJ_227,LAMAR via NFL ,14,2153,12053,14206,photo
CompanyJ_228,Lamar and King Crab keeping the Ravens alive via thecheckdown ,62,260,1658,1918,photo
CompanyJ_229,Philip Rivers and the Chargers fry the Ravens 23 17 ,52,1184,4475,5659,video
CompanyJ_230,Golden Tate was not letting go of that ball via thecheckdown ,61,549,4611,5160,video
CompanyJ_231,Coach Harbaugh let Lamar work through the growing pains ,56,864,4469,5333,photo
CompanyJ_232,D Wade and Vince warming up two hours before game time Nobody else is out here via BenStinar ,93,992,7291,8283,video
CompanyJ_233,D Wade s no look pass to DJJ ,29,2658,11614,14272,video
CompanyJ_234,Breaking Timberwolves have fired Tom Thibodeau per ShamsCharania and JonKrawczynski ,84,1317,4410,5727,photo
CompanyJ_235, But we just blew out the Lakers ,33,785,5315,6100,photo
CompanyJ_236,NICK FOLES ,11,1093,4063,5156,photo
CompanyJ_237,Foles finds Tate CLUTCH via thecheckdown ,41,702,3012,3714,video
CompanyJ_238,What a throw Mtrubisky10 via NFL ,33,101,921,1022,photo
CompanyJ_239,HE MISSED THE KICK ,19,2975,13520,16495,status
CompanyJ_240,Playoff Foles keeps the Eagles season alive ,44,4012,11139,15151,video
CompanyJ_241,All of Chicago ,15,13651,43040,56691,photo
CompanyJ_242,Cody Parkey s potential game winning FG hits crossbar twice as Eagles advance to Divisional Round via NFL ,106,2244,8477,10721,photo
CompanyJ_243,Can t wait for the Divisional Round ,36,1177,3924,5101,photo
CompanyJ_244,Coach Thibs time in Minnesota is up ,36,182,1163,1345,video
CompanyJ_245,D Wade x Trae Young jersey exchange via NBA ,44,765,6618,7383,video
CompanyJ_246,Gilbert Arenas was one of the coldest in the game at the height of his powers Agent Zero turns 37 today ,104,5818,25289,31107,video
CompanyJ_247,Millidelphia ,13,833,4812,5645,photo
CompanyJ_248,More accomplishments for Flash OneLastDance ,44,1687,6150,7837,photo
CompanyJ_249,The real reason Cody Parkey missed the kick via jaydotnice IG ,62,20917,82180,103097,video
CompanyJ_250,Crawford still got it ,22,987,6879,7866,video
CompanyJ_251,Beasley told the ref he wanted to fight KAT then the ref gave KAT a tech ,73,3697,20322,24019,video
CompanyJ_252,It appears Cody Parkey s final kick was actually tipped by Treyvon Hester ,74,1926,8044,9970,photo
CompanyJ_253,Kemba dropped 18 points in the last 6 minutes of the game ,58,1058,6367,7425,video
CompanyJ_254,This angle of the Bears field goal hitting both posts via aj_shaba95 IG ,72,1821,11424,13245,video
